rank,lemma,pos,count
1044,geográficamente,ADV,3
1045,griego,ADJ,3
1046,referir él,VERB,3
1047,significado,NOUN,3
1048,hebreo,NOUN,3
1049,tamaño,NOUN,3
1050,tito,PROPN,3
1051,livio,PROPN,3
1052,particular,NOUN,3
1053,academia,PROPN,3
1054,carecer,VERB,3
1055,aparte,ADV,3
1056,objeto,NOUN,3
1057,hispalis,PROPN,3
1058,venir,VERB,3
1059,compuesto,ADJ,3
1060,voz,NOUN,3
1061,dividir,VERB,3
1062,dificultad,NOUN,3
1063,nuestro,DET,3
1064,nieto,NOUN,3
1065,expresión,NOUN,3
1066,crónica,NOUN,3
1067,príncipe,NOUN,3
1068,occidente,PROPN,3
1069,oriente,PROPN,3
1070,naturaleza,NOUN,3
1071,cabeza,NOUN,3
1072,seguridad,NOUN,3
1073,gothorum,PROPN,3
1074,et,PROPN,3
1075,rodríguez,PROPN,3
1076,manera,NOUN,3
1077,latina,PROPN,3
1078,uso,PROPN,3
1079,corresponder,VERB,3
1080,mauritania,PROPN,3
1081,unificar,VERB,3
1082,finalmente,ADV,3
1083,suintila,PROPN,3
1084,sabio,PROPN,3
1085,spania,PROPN,3
1086,circunstancia,NOUN,3
1087,don,PROPN,3
1088,exclusivamente,ADV,3
1089,batallador,PROPN,3
1090,reinar,VERB,3
1091,pamplona,PROPN,3
1092,cristianos,PROPN,3
1093,demá,PRON,3
1094,motivo,NOUN,3
1095,independiente,ADJ,3
